0.00 	 -nan	 -nan 	  -nan
0.01 	 -nan	 -nan 	  -nan
4.70 	 0.00	 0.00 	  0.00
4.71 	 0.00	 0.00 	  0.00
4.72 	 0.00	 0.00 	  0.00
4.73 	 0.00	 0.00 	  0.00
4.74 	 0.00	 0.00 	  0.00
4.75 	 0.00	 0.00 	  0.00
4.76 	 0.00	 0.00 	  0.00
4.77 	 0.00	 0.00 	  0.00
4.78 	 0.00	 0.00 	  0.00
4.79 	 0.00	 0.00 	  0.00
4.80 	 0.00	 0.00 	  0.00
4.81 	 0.00	 0.00 	  0.00
4.82 	 0.00	 0.00 	  0.00
4.83 	 0.00	 0.00 	  0.00
4.84 	 0.00	 0.00 	  0.00
4.85 	 0.00	 0.00 	  0.00
4.86 	 0.00	 0.00 	  0.00
4.87 	 0.00	 0.00 	  0.00
4.88 	 0.00	 0.00 	  0.00
4.89 	 0.00	 0.00 	  0.00
4.90 	 0.00	 0.00 	  0.00
4.91 	 0.00	 0.00 	  0.00
4.92 	 0.00	 0.00 	  0.00
4.93 	 0.00	 0.00 	  0.00
4.94 	 0.00	 0.00 	  0.00
4.95 	 0.00	 0.00 	  0.00
4.96 	 0.00	 0.00 	  0.00
4.97 	 0.00	 0.00 	  0.00
4.98 	 0.00	 0.00 	  0.00
4.99 	 0.00	 0.00 	  0.00
